genome_ID,scaffold,gene_oid,locus_tag,start_coord,end_coord,clust_ID,gene_ID_string,core_whole,40_percent_ID_group,query_start,query_end,evalue,pfam_id,pfam_name,pfam_length
637000088,NC_007298,637682071,Daro_3598,3855501,3855959,65503,637682071,,Cluster 2529,,,,,,
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,572,609,0.086,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,613,652,9.40E-06,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,656,694,0.015,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,698,737,8.90E-08,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,741,780,8.00E-06,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,784,823,3.60E-05,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,829,866,1.30E-05,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,913,952,6.80E-06,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,959,995,1.90E-06,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,999,1038,0.0015,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,1042,1081,1.40E-05,pfam00400,WD40,37
637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,,Cluster 4823,1085,1124,4.60E-08,pfam00400,WD40,37
637000088,NC_007298,637682073,Daro_3600,3859638,3861026,65503,637682073,,Cluster 5637,315,422,2.50E-15,pfam13676,TIR_2,102
637000088,NC_007298,637682074,Daro_3601,3861238,3864414,65503,637682074,,Cluster 708,111,189,3.30E-32,pfam13699,DUF4157,79
637000088,NC_007298,637682074,Daro_3601,3861238,3864414,65503,637682074,,Cluster 708,920,1018,2.70E-06,pfam13930,Endonuclea_NS_2,132
637000088,NC_007298,637682075,Daro_3602,3864494,3865840,65503,637682075,afp15,,243,369,6.80E-25,pfam00004,AAA,132
637000088,NC_007298,637682076,Daro_3603,3865825,3867315,65503,637682076,afp14,,,,,,,
637000088,NC_007298,637682077,Daro_3604,3867329,3870154,65503,637682077,,Cluster 2389,,,,,,
637000088,NC_007298,637682078,Daro_3605,3870173,3872764,65503,637682078,afp12,,,,,,,
637000088,NC_007298,637682079,Daro_3606,3872778,3875801,65503,637682079,afp11,,,,,,,
637000088,NC_007298,637682080,Daro_3607,3875808,3876254,65503,637682080,afp9,,30,122,4.50E-20,pfam04965,GPW_gp25,95
637000088,NC_007298,637682081,Daro_3608,3876292,3876570,65503,637682081,afp10,,7,84,4.90E-22,pfam05488,PAAR_motif,69
637000088,NC_007298,637682082,Daro_3609,3876590,3878314,65503,637682082,afp8,,69,338,2.80E-09,pfam05954,Phage_GPD,304
637000088,NC_007298,637682083,Daro_3610,3878318,3879058,65503,637682083,afp7,,,,,,,
637000088,NC_007298,637682084,Daro_3611,3879060,3879230,65503,637682084,afp6,,,,,,,
637000088,NC_007298,637682085,Daro_3612,3879245,3879688,65503,637682085,afp1_5,,8,143,1.10E-44,pfam06841,Phage_T4_gp19,134
637000088,NC_007298,637682086,Daro_3613,3879709,3880149,65503,637682086,afp1_5,,10,142,1.40E-45,pfam06841,Phage_T4_gp19,134
637000088,NC_007298,637682087,Daro_3614,3880180,3882129,65503,637682087,afp2_3_4,,440,645,2.10E-32,pfam04984,Phage_sheath_1,464
637000088,NC_007298,637682088,Daro_3615,3882144,3883142,65503,637682088,,Cluster 337,,,,,,
637000088,NC_007298,637682089,Daro_3616,3883139,3883711,65503,637682089,afp16,,6,182,3.30E-29,pfam14065,DUF4255,178
637000088,NC_007298,637682090,Daro_3617,3884374,3885210,65503,637682090,,Cluster 7370,3,274,5.00E-37,pfam00656,Peptidase_C14,248
637000088,NC_007298,637682091,Daro_3618,3885247,3890664,65503,637682091,,Cluster 4076,577,716,3.10E-07,pfam02450,LCAT,392
637000088,NC_007298,637682091,Daro_3618,3885247,3890664,65503,637682091,,Cluster 4076,1187,1465,2.30E-31,pfam12770,CHAT,293
637000088,NC_007298,637682092,Daro_3619,3890661,3891326,65503,637682092,,Cluster 6473,58,186,7.70E-11,pfam08291,Peptidase_M15_3,111
637000088,NC_007298,637682093,Daro_3620,3891380,3892945,65503,637682093,,Cluster 5899,,,,,,
637000120,NC_002939,637125638,GSU0968,1041859,1043229,65544,637125638,,Cluster 823,,,,,,
637000120,NC_002939,637125639,GSU0969,1043393,1044745,65544,637125639,,Cluster 532,100,179,1.90E-12,pfam13180,PDZ_2,82
637000120,NC_002939,637125639,GSU0969,1043393,1044745,65544,637125639,,Cluster 532,198,368,5.50E-57,pfam03572,Peptidase_S41,166
637000120,NC_002939,637125640,GSU0970,1044984,1047935,65544,637125640,,Cluster 446,,,,,,
637000120,NC_002939,637125641,GSU0971,1047989,1048312,65544,637125641,,Cluster 566,1,105,6.70E-30,pfam00472,RF-1,115
637000120,NC_002939,637125642,GSU0972,1048581,1050812,65544,637125642,afp15,,526,653,4.40E-28,pfam00004,AAA,132
637000120,NC_002939,637125643,GSU0973,1050826,1051422,65544,637125643,afp16,,9,187,5.90E-42,pfam14065,DUF4255,178
637000120,NC_002939,637125644,GSU0974,1051419,1052267,65544,637125644,,Cluster 478,,,,,,
637000120,NC_002939,637125645,GSU0975,1052346,1054328,65544,637125645,afp2_3_4,,1,653,5.90E-78,pfam04984,Phage_sheath_1,464
637000120,NC_002939,637125646,GSU0976,1054369,1054806,65544,637125646,afp1_5,,9,142,3.70E-45,pfam06841,Phage_T4_gp19,134
637000120,NC_002939,637125647,GSU0977,1054829,1055191,65544,637125647,,Cluster 6,,,,,,
637000120,NC_002939,637125648,GSU0978,1055269,1055367,65544,637125648,,Cluster 535,,,,,,
637000120,NC_002939,637125649,GSU0979,1055421,1055861,65544,637125649,afp1_5,,13,144,1.10E-43,pfam06841,Phage_T4_gp19,134
637000120,NC_002939,637125650,GSU0980,1055865,1057055,65544,637125650,,Cluster 510,,,,,,
637000120,NC_002939,637125651,GSU0981,1057071,1057688,65544,637125651,afp7,,,,,,,
637000120,NC_002939,637125652,GSU0982,1057692,1058780,65544,637125652,afp8,,,,,,,
637000120,NC_002939,637125653,GSU0983,1058767,1059423,65544,637125653,afp8,,,,,,,
637000120,NC_002939,637125654,GSU0984,1059447,1059548,65544,637125654,,Cluster 3966,,,,,,
637000120,NC_002939,637125655,GSU0985,1059655,1059951,65544,637125655,afp10,,7,50,3.30E-06,pfam05488,PAAR_motif,69
637000120,NC_002939,637125655,GSU0985,1059655,1059951,65544,637125655,afp10,,48,98,4.90E-11,pfam05488,PAAR_motif,69
637000120,NC_002939,637125656,GSU0986,1059962,1060363,65544,637125656,afp9,,27,119,4.10E-25,pfam04965,GPW_gp25,95
637000120,NC_002939,637125657,GSU0987,1060383,1063742,65544,637125657,afp11,,837,1043,1.80E-08,pfam04865,Baseplate_J,255
637000120,NC_002939,637125658,GSU0988,1063766,1065799,65544,637125658,afp11,,391,620,5.40E-13,pfam04865,Baseplate_J,255
637000120,NC_002939,637125659,GSU0989,1065932,1067824,65544,637125659,,Cluster 604,413,563,2.30E-11,pfam09684,Tail_P2_I,136
637000120,NC_002939,637125660,GSU0990,1067946,1069832,65544,637125660,,Cluster 477,567,623,3.60E-09,pfam14520,HHH_5,57
637000120,NC_002939,637125661,GSU0991,1069829,1071094,65544,637125661,,Cluster 373,25,189,3.20E-26,pfam12000,Glyco_trans_4_3,169
