,genome_ID,scaffold,gene_oid,locus_tag,start_coord,end_coord,clust_ID,gene_ID_string,core_whole,40_percent_ID_group,query_start,query_end,evalue,pfam_id,pfam_name,pfam_length
1,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,572.0,609.0,0.086,pfam00400,WD40,37.0
2,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,613.0,652.0,9.4e-06,pfam00400,WD40,37.0
3,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,656.0,694.0,0.015,pfam00400,WD40,37.0
4,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,698.0,737.0,8.9e-08,pfam00400,WD40,37.0
5,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,741.0,780.0,8e-06,pfam00400,WD40,37.0
6,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,784.0,823.0,3.6e-05,pfam00400,WD40,37.0
7,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,829.0,866.0,1.3000000000000001e-05,pfam00400,WD40,37.0
8,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,913.0,952.0,6.8e-06,pfam00400,WD40,37.0
9,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,959.0,995.0,1.9e-06,pfam00400,WD40,37.0
10,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,999.0,1038.0,0.0015,pfam00400,WD40,37.0
11,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,1042.0,1081.0,1.4000000000000001e-05,pfam00400,WD40,37.0
12,637000088,NC_007298,637682072,Daro_3599,3856000,3859635,65503,637682072,NA,Cluster 4823,1085.0,1124.0,4.5999999999999995e-08,pfam00400,WD40,37.0
13,637000088,NC_007298,637682073,Daro_3600,3859638,3861026,65503,637682073,NA,Cluster 5637,315.0,422.0,2.5e-15,pfam13676,TIR_2,102.0
14,637000088,NC_007298,637682074,Daro_3601,3861238,3864414,65503,637682074,NA,Cluster 708,111.0,189.0,3.2999999999999997e-32,pfam13699,DUF4157,79.0
15,637000088,NC_007298,637682074,Daro_3601,3861238,3864414,65503,637682074,NA,Cluster 708,920.0,1018.0,2.7e-06,pfam13930,Endonuclea_NS_2,132.0
16,637000088,NC_007298,637682075,Daro_3602,3864494,3865840,65503,637682075,afp15,NA,243.0,369.0,6.800000000000001e-25,pfam00004,AAA,132.0
21,637000088,NC_007298,637682080,Daro_3607,3875808,3876254,65503,637682080,afp9,NA,30.0,122.0,4.5e-20,pfam04965,GPW_gp25,95.0
22,637000088,NC_007298,637682081,Daro_3608,3876292,3876570,65503,637682081,afp10,NA,7.0,84.0,4.9e-22,pfam05488,PAAR_motif,69.0
23,637000088,NC_007298,637682082,Daro_3609,3876590,3878314,65503,637682082,afp8,NA,69.0,338.0,2.8000000000000003e-09,pfam05954,Phage_GPD,304.0
26,637000088,NC_007298,637682085,Daro_3612,3879245,3879688,65503,637682085,afp1_5,NA,8.0,143.0,1.0999999999999999e-44,pfam06841,Phage_T4_gp19,134.0
27,637000088,NC_007298,637682086,Daro_3613,3879709,3880149,65503,637682086,afp1_5,NA,10.0,142.0,1.4e-45,pfam06841,Phage_T4_gp19,134.0
28,637000088,NC_007298,637682087,Daro_3614,3880180,3882129,65503,637682087,afp2_3_4,NA,440.0,645.0,2.1e-32,pfam04984,Phage_sheath_1,464.0
30,637000088,NC_007298,637682089,Daro_3616,3883139,3883711,65503,637682089,afp16,NA,6.0,182.0,3.3e-29,pfam14065,DUF4255,178.0
31,637000088,NC_007298,637682090,Daro_3617,3884374,3885210,65503,637682090,NA,Cluster 7370,3.0,274.0,5e-37,pfam00656,Peptidase_C14,248.0
32,637000088,NC_007298,637682091,Daro_3618,3885247,3890664,65503,637682091,NA,Cluster 4076,577.0,716.0,3.1e-07,pfam02450,LCAT,392.0
33,637000088,NC_007298,637682091,Daro_3618,3885247,3890664,65503,637682091,NA,Cluster 4076,1187.0,1465.0,2.3e-31,pfam12770,CHAT,293.0
34,637000088,NC_007298,637682092,Daro_3619,3890661,3891326,65503,637682092,NA,Cluster 6473,58.0,186.0,7.7e-11,pfam08291,Peptidase_M15_3,111.0
37,637000120,NC_002939,637125639,GSU0969,1043393,1044745,65544,637125639,NA,Cluster 532,100.0,179.0,1.9e-12,pfam13180,PDZ_2,82.0
38,637000120,NC_002939,637125639,GSU0969,1043393,1044745,65544,637125639,NA,Cluster 532,198.0,368.0,5.5e-57,pfam03572,Peptidase_S41,166.0
40,637000120,NC_002939,637125641,GSU0971,1047989,1048312,65544,637125641,NA,Cluster 566,1.0,105.0,6.699999999999999e-30,pfam00472,RF-1,115.0
41,637000120,NC_002939,637125642,GSU0972,1048581,1050812,65544,637125642,afp15,NA,526.0,653.0,4.4e-28,pfam00004,AAA,132.0
42,637000120,NC_002939,637125643,GSU0973,1050826,1051422,65544,637125643,afp16,NA,9.0,187.0,5.899999999999999e-42,pfam14065,DUF4255,178.0
44,637000120,NC_002939,637125645,GSU0975,1052346,1054328,65544,637125645,afp2_3_4,NA,1.0,653.0,5.899999999999999e-78,pfam04984,Phage_sheath_1,464.0
45,637000120,NC_002939,637125646,GSU0976,1054369,1054806,65544,637125646,afp1_5,NA,9.0,142.0,3.7e-45,pfam06841,Phage_T4_gp19,134.0
48,637000120,NC_002939,637125649,GSU0979,1055421,1055861,65544,637125649,afp1_5,NA,13.0,144.0,1.1e-43,pfam06841,Phage_T4_gp19,134.0
54,637000120,NC_002939,637125655,GSU0985,1059655,1059951,65544,637125655,afp10,NA,7.0,50.0,3.3e-06,pfam05488,PAAR_motif,69.0
55,637000120,NC_002939,637125655,GSU0985,1059655,1059951,65544,637125655,afp10,NA,48.0,98.0,4.9e-11,pfam05488,PAAR_motif,69.0
56,637000120,NC_002939,637125656,GSU0986,1059962,1060363,65544,637125656,afp9,NA,27.0,119.0,4.0999999999999994e-25,pfam04965,GPW_gp25,95.0
57,637000120,NC_002939,637125657,GSU0987,1060383,1063742,65544,637125657,afp11,NA,837.0,1043.0,1.8e-08,pfam04865,Baseplate_J,255.0
58,637000120,NC_002939,637125658,GSU0988,1063766,1065799,65544,637125658,afp11,NA,391.0,620.0,5.4e-13,pfam04865,Baseplate_J,255.0
59,637000120,NC_002939,637125659,GSU0989,1065932,1067824,65544,637125659,NA,Cluster 604,413.0,563.0,2.2999999999999998e-11,pfam09684,Tail_P2_I,136.0
60,637000120,NC_002939,637125660,GSU0990,1067946,1069832,65544,637125660,NA,Cluster 477,567.0,623.0,3.6e-09,pfam14520,HHH_5,57.0
61,637000120,NC_002939,637125661,GSU0991,1069829,1071094,65544,637125661,NA,Cluster 373,25.0,189.0,3.2e-26,pfam12000,Glyco_trans_4_3,169.0
62,637000120,NC_002939,637125661,GSU0991,1069829,1071094,65544,637125661,NA,Cluster 373,194.0,377.0,1.9e-20,pfam00534,Glycos_transf_1,172.0
68,637000155,NC_007626,637820494,amb1882,2028467,2029108,65556,637820494,afp16,NA,18.0,197.0,4.4e-33,pfam14065,DUF4255,178.0
70,637000155,NC_007626,637820496,amb1884,2029719,2031314,65556,637820496,afp2_3_4,NA,1.0,523.0,1.1999999999999998e-60,pfam04984,Phage_sheath_1,464.0
71,637000155,NC_007626,637820497,amb1885,2031337,2031780,65556,637820497,afp1_5,NA,9.0,144.0,9.2e-37,pfam06841,Phage_T4_gp19,134.0
74,637000155,NC_007626,637820500,amb1888,2032556,2032780,65556,637820500,afp1_5,NA,1.0,68.0,1.8e-18,pfam06841,Phage_T4_gp19,134.0
79,637000155,NC_007626,637820505,amb1893,2036154,2036567,65556,637820505,afp10,NA,77.0,137.0,6.1e-06,pfam05488,PAAR_motif,69.0
80,637000155,NC_007626,637820506,amb1894,2036574,2036984,65556,637820506,afp9,NA,33.0,125.0,1.1000000000000001e-23,pfam04965,GPW_gp25,95.0
